Component RT,Base Peak MZ,Component Area,Compound Name,Match Factor,File Name
4.49133665398995,43,91499.1503967261,"Pentane, 2,3,3-trimethyl-",91.6528055871414,T6-3.D
4.49133723749723,43,57988.4542495677,"Pentane, 3,3-dimethyl-",87.0383195325843,T5-1.D
4.49140412195927,43,96907.609768725,"Pentane, 2,3,3-trimethyl-",92.5876983989229,T1-2.D
4.4914117337595,43,63135.760061372,"Pentane, 3,3-dimethyl-",78.1622330307165,T2-10.D
4.4917298194219,43,55177.4577322209,"Hexane, 3,3-dimethyl-",80.1762422243529,T1-10.D
4.49181914537853,43.08,48725.2171706823,"Pentane, 3,3-dimethyl-",80.9643068735692,T5-7.D
4.49225601715531,43.07,52801.5995711908,"Pentane, 3,3-dimethyl-",77.1333295873088,T1-5.D
4.49248863786146,43.05,54604.3410558649,"Pentane, 3,3-dimethyl-",78.6546388134588,T1-4.D
4.49339081573889,43,78400.1211980779,"Hexane, 3,3-dimethyl-",80.1980497150213,T3-6.D
4.49345309819306,43,66178.1456988655,"Pentane, 3,3-dimethyl-",77.395998946663,T4-1.D
4.49367251183553,43.05,92648.7608331626,"Pentane, 2,3,3-trimethyl-",91.3009129366453,T5-5.D
4.49374250182921,43.08,61231.2925251876,"Pentane, 3,3-dimethyl-",77.3206276948317,T5-3.D
4.49396316274484,43,43794.1745841659,"Pentane, 3,3-dimethyl-",78.0458200831184,T4-4.D
4.49407615211299,71.09,38977.5329651806,"Pentane, 3,3-dimethyl-",77.4373353091979,T3-5.D
4.49430388691584,43,78203.9856338517,"Pentane, 2,3,3-trimethyl-",82.9416380660846,T4-2.D
4.49436636803706,71,49593.9686210173,"Pentane, 3,3-dimethyl-",82.0211330408205,T3-7.D
4.49443157458878,43,52430.0247794327,"Pentane, 3,3-dimethyl-",78.9216594422686,T3-3.D
4.49464565584816,43.06,55172.4504042145,"Pentane, 3,3-dimethyl-",77.2127300487944,T1-8.D
4.49516887797318,43,72865.7215748139,"Pentane, 2,3,3-trimethyl-",84.4610632706533,T2-1.D
4.49593382907817,43,64121.6976701154,"Pentane, 3,3-dimethyl-",76.0725728033562,T6-8.D
4.49621572607768,43.07,49605.3116651864,"Pentane, 3,3-dimethyl-",79.1856343789109,T5-10.D
4.49628857423334,43,79051.1956317541,"Hexane, 3,3-dimethyl-",87.7645982724093,T3-9.D
4.4968127418631,43.07,64531.9671875133,"Pentane, 3,3-dimethyl-",77.439580512511,T4-3.D
4.49700916657501,43.08,104846.260812189,"Pentane, 2,3,3-trimethyl-",91.0636274656324,T2-6.D
4.49807100941257,43,81534.0226862468,"Pentane, 3,3-dimethyl-",78.7843936039992,T2-2.D
4.49828243743739,43,67579.3531303707,"Pentane, 3,3-dimethyl-",87.4032151189965,T2-5.D
4.49841346398232,43,70443.6314536054,"Pentane, 3,3-dimethyl-",85.4311532872927,T6-7.D
4.49909166001983,43,68734.2837245141,"Pentane, 2,3,3-trimethyl-",90.9457724070107,T6-6.D
4.4995873295303,43.05,76422.8833608915,"Hexane, 3,3-dimethyl-",89.6144281279206,T1-7.D
4.4995873295303,43,77948.999790155,"Pentane, 2,3,3-trimethyl-",88.5859262488955,T1-7.D
4.50002954002388,43.08,55489.0241488207,"Pentane, 3,3-dimethyl-",75.637836309334,T4-7.D
4.50078718713196,43,71704.3576639194,"Pentane, 2,3,3-trimethyl-",80.0533427896342,T6-10.D
4.50131644371952,43.05,101005.204375538,"Pentane, 2,3,3-trimethyl-",86.7580591358006,T3-2.D
4.50480068088312,72.99,7703.12307088344,"2,2'-Bi-1,3-dioxolane",81.5390498104252,T1-3.D
4.50487794826088,72.99,6098.02487699659,"1,3-Dioxolane-2-methanol",76.3717744584937,T2-4.D
4.50676804101718,72.99,10823.737829627,"1,3-Dioxolane-2-methanol",79.7530698100287,T2-6.D
4.50731956666052,72.99,9237.58459951924,"2,2'-Bi-1,3-dioxolane",85.3827218415277,T4-10.D
4.50748444166386,72.99,18853.7367238186,"3-Pentanol, 3-methyl-",78.0068435391299,T2-5.D
4.5077053338866,72.99,8502.80316359681,"2,2'-Bi-1,3-dioxolane",78.7739541037061,T4-2.D
4.51021347524906,72.99,6024.44789031557,"2,2'-Bi-1,3-dioxolane",77.23430870992,T6-7.D
4.51214026354668,72.99,6536.7428571684,"2,2'-Bi-1,3-dioxolane",76.3210440205751,T3-2.D
4.55006685317864,43.06,40598.4051720614,Pyrrolidine,92.7401233158928,T4-6.D
4.55853500129283,43.05,18079.3437506444,Pyrrolidine,78.7639985662931,T6-4.D
4.5609982361332,43,35009.2166279713,Pyrrolidine,77.960211479333,T2-8.D
4.56611097102254,43,34800.8806559485,Pyrrolidine,84.6353370204311,T2-4.D
4.56735648111893,43.05,30510.5508702302,"Pentane, 3-ethyl-",76.626151980425,T1-3.D
4.56770445567644,43,23364.9724378125,Pyrrolidine,75.8019680236248,T1-3.D
4.56861319230436,43.05,31362.6223369056,Pyrrolidine,79.3150257146114,T6-3.D
4.5687396492176,43.07,39755.5119550341,"Ethanethioic acid, S-(2-methylbutyl) ester",77.7400881766839,T1-2.D
4.56936323632949,43,39582.7574137843,"Ethanethioic acid, S-(2-methylbutyl) ester",78.6081781719045,T5-5.D
4.5700717313294,43,34846.6884532086,Pyrrolidine,79.3839546964521,T1-4.D
4.57227410385002,43.06,32753.8725457567,Pyrrolidine,79.8411739271076,T2-1.D
4.57266954156747,43.06,42399.0524630699,Pyrrolidine,81.2678191291276,T6-8.D
4.57288743677814,43.08,39023.3681492543,Pyrrolidine,79.5632259946651,T2-6.D
4.57478048017614,43,40239.0627465431,Pyrrolidine,83.1443716112369,T2-5.D
4.65180531483174,43,90074.0252726656,Pyrrolidine,87.1634280347148,T4-9.D
4.65874963194741,57.07,42745.5334067572,4-Piperidone,76.6911881194247,T3-9.D
4.66232471654674,43,89778.0415238272,"Pentane, 3-ethyl-",92.307108104551,T4-6.D
4.6706691757531,71.09,51076.8259363971,"Pentane, 3-ethyl-",88.7681454667166,T6-4.D
4.6712524708028,43.07,106876.499065916,"Octane, 4,5-dimethyl-",80.6741092333819,T1-9.D
4.6728790231571,43.08,76594.9134692457,"3-Pentanone, 2,4-dimethyl-",85.0484456923914,T1-6.D
4.67329772828143,43,110636.14410638,"Pentane, 3-ethyl-",91.8547373491322,T2-8.D
4.67460184707093,43,73035.5047537842,"Pentane, 3-ethyl-",79.5008394216453,T6-1.D
4.67646675562347,43,56512.5932919361,"Pentane, 3-ethyl-",79.7787437292701,T2-9.D
4.67685603355435,43.05,137644.591890973,"Octane, 4,5-dimethyl-",81.4480577998676,T5-4.D
4.67778045132557,43,199221.447651073,"Octane, 4,5-dimethyl-",94.9100520754638,T2-4.D
4.67795046092192,43.07,102847.232858091,"Hexane, 2,4,4-trimethyl-",81.459185650154,T2-7.D
4.6780161773782,43,106096.929736883,"Octane, 4,5-dimethyl-",78.7971813868171,T6-5.D
4.6781781805004,43.07,116646.778593334,Pyrrolidine,85.2890126558895,T5-9.D
4.67818715943078,43.09,71931.4326746475,"Pentane, 3-ethyl-",77.4233424869497,T6-5.D
4.6786480653985,43,78193.2027967603,"2,2'-Bifuran, octahydro-",84.5971994161505,T3-4.D
4.67874313902593,43,137741.167439856,"Heptane, 3,3,4-trimethyl-",78.6974421717754,T3-10.D
4.67918327967795,43.05,185367.754807408,"Octane, 4,5-dimethyl-",87.4084496245941,T3-1.D
4.67930002974053,43,174919.738958898,"Octane, 4,5-dimethyl-",94.3709548137041,T4-8.D
4.67981736574389,43,73482.9215079156,"Pentane, 3-ethyl-",77.9303687239803,T1-1.D
4.67995724071818,43,62333.3565316512,"Pentane, 3-ethyl-",80.3517260583538,T1-3.D
4.68018748362211,43.07,74570.2000430293,"Pentane, 3-ethyl-",79.4721040692453,T2-3.D
4.68044298093765,43,103263.303141868,"2,2'-Bifuran, octahydro-",85.4108609960277,T4-5.D
4.68049431150876,43,87526.8829606578,"2,2'-Bifuran, octahydro-",85.2775546070633,T6-9.D
4.68057949245782,43,86439.769806953,Pyrrolidine,84.3783716118705,T6-3.D
4.68062299128333,43,107446.888583739,"Pentane, 3-ethyl-",84.8087974295592,T3-8.D
4.68079401193248,43.07,84498.5402305686,"Pentane, 3-ethyl-",79.7685402513609,T2-10.D
4.6809716819071,71,62680.7090668974,"2,2'-Bifuran, octahydro-",84.9661385962009,T1-10.D
4.68109811441527,43,110415.051775738,"Pentane, 3-ethyl-",89.1373256287194,T1-2.D
4.68111691107633,43.05,94085.5219519629,"Pentane, 3-ethyl-",90.608955594855,T5-1.D
4.68114233421478,70,68562.6167219513,Pyrrolidine,82.7510228902325,T5-7.D
4.68146154320864,43.07,87488.4077892611,"3-Pentanone, 2,4-dimethyl-",86.6983670150771,T1-5.D
4.68182853387298,43,120044.523964553,"Pentane, 3-ethyl-",89.1648403591102,T1-4.D
4.68247248648466,43.07,76629.6158344148,"Pentane, 3-ethyl-",79.3431427127377,T3-6.D
4.68248617584081,43.05,100224.544694684,"Pentane, 3-ethyl-",90.063790984904,T5-5.D
4.68270056333712,43,98097.2343960248,"Pentane, 3-ethyl-",77.2896819646625,T5-3.D
4.68282054262526,43,79163.2493334452,"Pentane, 3-ethyl-",79.8869891427489,T4-1.D
4.68304246132475,43,81062.0264727769,"3-Pentanone, 2,4-dimethyl-",85.5981023206895,T3-7.D
4.68307171516205,70,53675.8317195466,"Pentane, 3-ethyl-",79.0816799092896,T3-5.D
4.68312664196896,43.07,110985.890059179,"3-Pentanone, 2,4-dimethyl-",78.34046947878,T3-3.D
4.68340994866555,43,77443.7295589844,"Pentane, 3-ethyl-",84.4128217619476,T4-4.D
4.68354949141503,43.06,71043.8796837689,"Pentane, 3-ethyl-",79.8961521791468,T4-2.D
4.6836946859671,43.06,96807.1475207096,"3-Pentanone, 2,4-dimethyl-",78.0215574187869,T1-8.D
4.68420936014423,43,93336.3228727554,"Pentane, 3-ethyl-",84.4179178557292,T2-1.D
4.68477328637692,43.05,194577.295421275,"Octane, 4,5-dimethyl-",93.5525526985582,T3-9.D
